,0
0,
1,【IT/Web・通信・インターネット系✖️ソフトウェア/パッケージベンダ】
2,株式会社 ブレイブソフト
3,株式会社 ライトワークス
4,ユミルリンク 株式会社
5,株式会社 Sharing Innovations
6,株式会社 シャノン
7,株式会社 ガラパゴス
8,アララ 株式会社
9,株式会社 レコモット
10,AnyMind Group
11,株式会社 アベリオシステムズ
12,ソフトブレーン 株式会社
13,株式会社 エムアイメイズ
14,株式会社 エスキュービズム
15,株式会社 ROXX（旧名：株式会社SCOUTER）
16,株式会社 フーディソン
17,ウェルスパーク 株式会社
18,株式会社 インフォディオ
19,エンバカデロ・テクノロジーズ 合同会社
20,株式会社 JMDC
21,株式会社 インサイト
22,アドビ システムズ 株式会社
23,ラティス・テクノロジー 株式会社
24,メディアリンク 株式会社
25,株式会社 ラキール（旧名：株式会社レジェンド・アプリケーションズ）
26,株式会社 クオーレ
27,株式会社 エクサウィザーズ
28,株式会社 日進サイエンティア
29,株式会社 P&Pビジネスコンサルティング（旧社名：株式会社ピーアンドピービューロゥ）
30,株式会社 スタイルズ
31,株式会社 サイカ
32,NCDC 株式会社
33,株式会社 チュートリアル
34,エッジコンサルティング 株式会社
35,ゼネリックソリューション 株式会社
36,株式会社 プロトソリューション
37,株式会社 アクティブ・ワーク
38,株式会社 チームスピリット
39,アイレット 株式会社
40,freee 株式会社
41,株式会社 ウフル
42,株式会社 ミナジン
43,株式会社 スプラシア
44,株式会社 アドア
45,株式会社 プロシーズ
46,ネオス 株式会社
47,株式会社 ラボック
48,株式会社 オルトプラス
49,Fabeee 株式会社
50,Zababan 株式会社
51,株式会社 いい生活
52,株式会社 システナ
53,ネットパイロティング 株式会社
54,Mikatus 株式会社
55,株式会社 Lei Hau'oli
56,株式会社 ジーネクスト
57,rakumo 株式会社
58,株式会社 ムロドー
59,株式会社 LASSIC
60,株式会社 ヒューマンテクノロジーズ
61,アイ・ティ・リアライズ 株式会社
62,株式会社 リーデックス
63,Sansan 株式会社
64,ベルフェイス 株式会社
65,株式会社 JAM
66,株式会社 トライネット
67,SO Technologies 株式会社
68,エーバイスリーセキュアシステム 株式会社
69,Saze 株式会社
70,株式会社 フォトラクション（旧社名：CONCORE'S 株式会社）
71,スターティアラボ 株式会社
72,マルティスープ 株式会社
73,株式会社 コドモン
74,日本ウェブサービス 株式会社
75,千 株式会社
76,株式会社 ラック
77,株式会社 AIメディカルサービス
78,株式会社 ライトカフェ
79,株式会社 モルフォ
80,ヴァイタル・インフォメーション 株式会社
81,株式会社 グローバルウェイ
82,ポーターズ 株式会社
83,株式会社 リザーブリンク
84,株式会社 コンシェルジュ
85,株式会社 FORCAS
86,株式会社 ABEJA
87,株式会社 ケップル
88,株式会社 ジェイアール総研情報システム
89,株式会社 EPARKグルメ
90,株式会社 ブレイン・ラボ
91,株式会社 SHIFT
92,株式会社 ニッポンダイナミックシステムズ
93,株式会社 スクリプト
94,株式会社 Sun Asterisk
95,株式会社 インフォザイン
96,シルバーエッグ・テクノロジー 株式会社
97,株式会社 テクノア
98,株式会社 POL
99,株式会社 Payke
100,株式会社 ジオコード
101,株式会社 ソルクシーズ
102,株式会社 マーケライズ
103,株式会社 ラクス
104,Tigerspike 株式会社
105,株式会社 クレヴァシステムズ
106,株式会社 コンピュータマインド
107,株式会社 エイガ・ドット・コム
108,株式会社 フィードフォース
109,株式会社 三恵クリエス
110,株式会社 ねこじゃらし
111,株式会社 カウリス
112,株式会社 テスク
113,サイオステクノロジー 株式会社
114,株式会社 クロスゲームズ
115,グラビティ 株式会社
116,株式会社 プロジット
117,株式会社 フレクト
118,株式会社 フィーリスト
119,株式会社 コアテック
120,PHC 株式会社
121,株式会社 ＧＳＩ
122,株式会社 トラストシステム
123,株式会社 アイキューブ
124,株式会社 サイバーセキュリティクラウド
125,株式会社 HRBrain
126,株式会社 フロムスクラッチ
127,株式会社 イクスイ
128,株式会社 Ｓｏｆｔ　Ｐｌａｎ
129,株式会社 Resola
130,株式会社 セルシス
131,株式会社 グッドフェローズ
132,株式会社 ヴァイタス
133,デジタルアーツ 株式会社
134,株式会社 オーシャンブリッジ
135,株式会社 エクスマート
136,株式会社 SmartHR
137,ｔ‐ｗａｙｓコンサルティング 株式会社
138,株式会社 都築ソフトウェア
139,パクテラ・テクノロジー・ジャパン 株式会社
140,株式会社 光通信
141,株式会社 ブロードリーフ
142,株式会社 スピードリンクジャパン
143,株式会社 アクシオ
144,Increments 株式会社
145,株式会社 トリニファイ
146,株式会社 いえらぶGROUP
147,株式会社 FRONTEO
148,株式会社 ペイロール
149,ミーカンパニー 株式会社
150,株式会社 ヒラソル
151,バルテス 株式会社
152,株式会社 ITI
153,株式会社 ゆめみ
154,株式会社 イーリバースドットコム
155,株式会社 CINC（旧名：株式会社 Core）
156,株式会社 リテイルサイエンス
157,株式会社 スマートスタイル
158,株式会社 Mercury and Earth
159,かっこ 株式会社
160,ディライテッド 株式会社
161,株式会社 日本ビジネスデータープロセシングセンター
162,株式会社 日本ビジネスデータープロセシングセンター
163,株式会社 EMD
164,株式会社 電話放送局
165,株式会社 クローバー・ネットワーク・コム
166,株式会社 アイピーキューブ
167,中央システム 株式会社
168,株式会社 アシスト
169,株式会社 フィジオ
170,株式会社 クロノス
171,株式会社 アルディート
172,株式会社 エニシアス
173,株式会社 ユニトラスト
174,株式会社 フライトシステムコンサルティング
175,株式会社 スリーシェイク
