,0
0,
1,【IT✖️ソフトウェア設計・開発】
2,株式会社コンテンツワン
3,株式会社サイバーウェア
4,マイバックス株式会社
5,株式会社スキーム
6,株式会社スキーム
7,システム電装工業株式会社
8,ネイチャーインサイト株式会社
9,グラビティ株式会社
10,株式会社ラグザイア
11,株式会社アイティーナビゲート
12,アルサーガパートナーズ 株式会社
13,株式会社アライソ
14,株式会社イントワークス
15,株式会社 TRIBE / TRIBE.Inc
16,株式会社スコープ
17,株式会社エクラアシスト
18,株式会社エクラアシスト
19,株式会社エクラアシスト
20,株式会社 東京リーガルマインド
21,株式会社アイドマ・ホールディングス
22,株式会社ヴィ・クロス・ヴィジョン
23,株式会社センスインタナショナル
24,株式会社シーエスワン
25,OTAKA株式会社
26,株式会社ネクストエッジ
27,株式会社テネオス
28,リバティ・フィッシュ株式会社
29,"リバティ・フィッシュ株式会社
大阪市中央区南船場１丁目16-20　ムラキビル4階
（※実際の就業先は本社とは異なる近畿圏の場合があります）"
30,リバティ・フィッシュ株式会社
31,"リバティ・フィッシュ株式会社
 大阪市中央区南船場１丁目16-20　ムラキビル4階
 （※実際の就業先は本社とは異なる近畿圏の場合があります）"
32,リバティ・フィッシュ株式会社
33,"リバティ・フィッシュ株式会社
 大阪市中央区南船場１丁目16-20　ムラキビル4階
 （※実際の就業先は本社とは異なる近畿圏の場合があります）"
34,リバティ・フィッシュ株式会社
35,"リバティ・フィッシュ株式会社
 大阪市中央区南船場１丁目16-20　ムラキビル4階
 （※実際の就業先は本社とは異なる近畿圏の場合があります）"
36,リバティ・フィッシュ株式会社
37,"リバティ・フィッシュ株式会社
 大阪市中央区南船場１丁目16-20　ムラキビル4階
 （※実際の就業先は本社とは異なる近畿圏の場合があります）"
38,リバティ・フィッシュ株式会社
39,"リバティ・フィッシュ株式会社
 大阪市中央区南船場１丁目16-20　ムラキビル4階
 （※実際の就業先は本社とは異なる近畿圏の場合があります）"
40,リバティ・フィッシュ株式会社
41,"リバティ・フィッシュ株式会社
 大阪市中央区南船場１丁目16-20　ムラキビル4階
 （※実際の就業先は本社とは異なる近畿圏の場合があります）"
42,リバティ・フィッシュ株式会社
43,"リバティ・フィッシュ株式会社
 大阪市中央区南船場１丁目16-20　ムラキビル4階
 （※実際の就業先は本社とは異なる近畿圏の場合があります）"
44,株式会社デジック
45,株式会社ACCESS Works
46,株式会社ACCESS Works
47,株式会社サイクス
48,株式会社アクロクレイン
49,株式会社ZEALS
50,株式会社Silver Bullet　（シルバーバレット）
51,株式会社トラストクリエイション
52,株式会社ZEALS
53,株式会社ケーシーエスエンジニアリング
54,株式会社ネクストエッジ
55,株式会社ネクストエッジ
56,株式会社ルーツ・テクノロジーズ
57,株式会社パソナテック
58,アヴァント株式会社
59,株式会社プロシーズ
60,株式会社アールツー
61,株式会社フローリッシュ
62,株式会社アスケイト
63,株式会社アスケイト
64,株式会社エーエスエル
65,株式会社情報システムエンジニアリング
66,シティコンピュータ株式会社
67,シティコンピュータ株式会社
68,株式会社ROI　(アールオーアイ)
69,株式会社コミットグロース
70,株式会社RCIエージェンシー
71,株式会社コスダック
72,バルテス株式会社
73,インユニゾン株式会社
74,OTAKA株式会社
75,株式会社夢テクノロジー
76,株式会社夢テクノロジー
77,株式会社KJRS
78,株式会社ソラボ
79,株式会社Hacobu
80,株式会社アライブ.com
81,株式会社atelier-info
82,パーソルテクノロジースタッフ株式会社
83,パーソルテクノロジースタッフ株式会社
84,パーソルテクノロジースタッフ株式会社
85,株式会社Hacobu
86,株式会社センスインタナショナル
87,株式会社アイネ
88,株式会社運動通信社
89,株式会社運動通信社
90,株式会社運動通信社
91,株式会社運動通信社
92,株式会社AppBASE
93,株式会社ユニテック
94,株式会社ソリューションジャパン
95,株式会社ソリューションジャパン
96,株式会社ソリューションジャパン
97,株式会社シーエスワン
98,株式会社情報戦略テクノロジー
99,株式会社情報戦略テクノロジー
100,株式会社RINET
101,株式会社ユニス
102,株式会社gloops (グループス)
103,株式会社gloops (グループス)
104,株式会社gloops (グループス)
105,株式会社ゼロベースファクト
106,株式会社ゼロベースファクト
107,株式会社シャインソフト
108,株式会社インフォメーション クリエーティブ
109,株式会社リヴァンプ
110,株式会社プレソル
111,株式会社ヴォルグ
112,セイクリッドフォース株式会社
113,オデッセイヒューマンシステム株式会社
114,株式会社アイ・シー・ティー
115,株式会社カプター
116,株式会社ヴォルグ
117,株式会社ラジカルオプティ
118,株式会社ラジカルオプティ
119,株式会社カイラステクノロジー
120,株式会社ディマージシェア
121,株式会社ASCOM（アスコム）
122,ジャストウェア株式会社
123,グリーンモンスター株式会社
124,株式会社ディマージシェア
125,エクセト株式会社
126,エクセト株式会社
127,株式会社オルトス
128,株式会社アクロスペイラ【アクロホールディングズのグループ企業】
129,株式会社アクロスペイラ【アクロホールディングズのグループ企業】
130,株式会社ブードン
131,株式会社エーアイスクエア
132,グラビティ株式会社
133,グラビティ株式会社
134,株式会社ネットサービス・ソリューションズ
135,株式会社アスキング
136,株式会社アスキング
137,株式会社アスキング
138,株式会社コミュニケーション・プロジェクト
139,株式会社スカイウイル
140,株式会社スカイウイル
141,株式会社スカイウイル
142,株式会社スカイウイル
143,株式会社スロウアイランズ
144,株式会社アズテックス
145,MicroWorld株式会社
146,株式会社ISLWARE
147,株式会社Luxy
148,株式会社エイ・エヌ・エス
149,株式会社ONE ACT
150,株式会社モトアップ
151,株式会社モトアップ
152,株式会社ウィルゲート
153,株式会社ウィルゲート
154,FutureRays株式会社
155,FutureRays株式会社
156,株式会社ウィルゲート
157,AXLBIT株式会社（アクセルビット）
158,株式会社エモーショナル
159,コンピューターサイエンス株式会社
160,コンピューターサイエンス株式会社
161,株式会社Odd-e Japan
162,株式会社Odd-e Japan
163,株式会社堺情報技術社
164,株式会社スタンダードファクトリー
165,株式会社スタンダードファクトリー
166,株式会社ドリーム・シアター
167,株式会社アスカ
168,アイピーロジック株式会社
169,株式会社Groony
170,アヴァント株式会社
171,テクノライクス株式会社
172,株式会社OKUSYSTEM
173,株式会社OKUSYSTEM
174,株式会社ベリアント
175,Saze株式会社（サージ）
176,株式会社ASO
177,株式会社くらしナビ
178,株式会社くらしナビ
179,日東コンピューターサービス株式会社
180,日東コンピューターサービス株式会社
181,株式会社フュービック
182,株式会社際
183,株式会社アイアンドシー・クルーズ
184,株式会社プロジット
185,株式会社DayBridge
186,シーズファイブ株式会社
187,株式会社ブックルックチーム
188,株式会社ブックルックチーム
189,株式会社東京スタッフサービス
190,シーズファイブ株式会社
191,株式会社リープソフト
192,株式会社ソフトウェアプロジェクト
193,技研商事インターナショナル株式会社
194,プレイネクストラボ株式会社
195,プレイネクストラボ株式会社
196,プレイネクストラボ株式会社
197,株式会社ソフトウェア・パートナー
198,ProGATE株式会社[PRG]
199,株式会社ムーブ
200,株式会社セビックス
201,株式会社クライム
202,タカコー株式会社
203,タカコー株式会社
204,株式会社ニューロープ
205,日本データネットコミュニケーションズ株式会社
206,株式会社テネオス
207,株式会社オーミック
208,SIA株式会社
209,株式会社ユーネット
210,株式会社ユーネット
211,株式会社ディマージシェア
212,株式会社ギャラクシィ
213,株式会社チュートリアル
214,株式会社チュートリアル
215,株式会社MA Solutions
216,アクセレイ株式会社
217,アクセレイ株式会社
218,株式会社エーエスエル
219,株式会社ティーピーエス
220,ProGATE株式会社[PRG]
221,フォーリー株式会社
222,株式会社 エーム
223,アクサス株式会社
